Element,delete flag,Entity Name,Original Alternative Entity Name  (Including entity names are duplicates),col-C,col-D,Actor /Role /Service,Hierarchy Conceptual/ Logical/ Physical,Role (from role tab),Type,NIST (Legacy) Domain ,Manufacturer-CIM (IEC #) Type of Zone,Description,"Actor/ type
or
Role",Related Role,Business function/ service,AMI Systems,Electric Transportaion,Distribution Grid Mgmt,WASA,Demand Response,Electric Storage,Conceptual Model,Reference Diagram,NAESB,CSWG NISTIR 7628,CSWG Actors,IEEE P2030 Draft 3.0  ,EIS,EU Commission,EU WGSP Vers 0.5,SGAC Conceptual Arch,IEC TC57-WG19 DER Actor/Roles,EU SC-CG WP1 ,ENTSO-E role model,AhG Charging,IEC61968 IRM,IEC SG3,GUC,DKE Repository,SMCG,EG3,EU Source:unknown,New,Note,US/EU Input,There are several entities that more concisely describe this concept - this should show up as a column B item for traceability
11,,Ancillary Ops Market,,,,Role,Conceptual,,Application,Market,Enterprise,"Provide a market to provide frequency support, voltage support, spinning reserve and other services as defined by FERC, NERC and the various ISO. These markets normally function on a regional or ISO basis. ",,,"function/
service ?",,,,,,,X,, ,,,,,,,,,,,,,,,,,,,,,US,
12,,Ancillary Service Providers,,,,Actor,Logical,,Organization,Service Provider,,"Provide third-party ancillary services to provide frequency support, voltage support, spinning reserve and other services as defined by FERC, NERC and the variousttransmission authority,",role,reserve  allocator ?,,,,,,,,,, ,,,,,X,,,,,,,,,,,,,,,,US,
13,,Appliance,"RM: Customer Appliance, RD: Appliances",,,Actor,Logical,Equipment,Device,Cross Cutting,Enterprise,generic appliance,system actor,multiple,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,US,
14,,Appliance - Customer,,,,Actor,Logical,,Device,Customer,,"Consumer (in-home) electric device.  Potentially controllable (making them Customer Devices) to reduce/increase load as directed.  Includeslights,  pool pumps, air conditioners, electric water heaters, refrigerators, washers, electric dryers, dishwashers, &c.",system actor,party connected to the grid,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,US,
15,,Appliance Control,,,,Role,Conceptual,,Application,Customer,,The role associated with the external control of an End Device.,role,consumption responsible party, ,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
16,,Asset Investment Planning,,,,Role,Conceptual,,Application,Operations,,"Asset investment planning involves strategy definition and prioritisation, maintenance strategy planning, risk management, programme management and decision-making. It drives the condition, configuration, performance, operating costs, and flexibility of the asset base, with the aim of maximising value.",,grid operator,"function/
service ",,,,,,,, ,,,,,,,X,,,,,,,,,,,,,,,US,
17,,Back Office Systems,NR: Metering/Billing /Utility Back Office,,,Actor,Logical,,Application,Operations,,"Applications which support the admistrative support for the utility or Service Provider.  These applcations usually include customer billing, general ledger & accounting",system actor,multiple,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
18,,Backhaul WAN,,,,Actor,Logical,,Facility,Operations,,"Backhaul Wide-Area Networks (WAN) provides the telcommuncations facilities from edge devices to the Grid Operations Core Network (LAN) eitherdirectly or via a WAN. These edge devices include Substation, Field Automation Networks(FAN), Supervisory Control And Data Acquisition (SCADA) devices, dvanced Meter Infrastructure (AMI) networks, Distributed Generation Resources, etc. A backhaul WAN may be owned by a utility and/or managed by a telecom/cable Service Provider. It may be wireless, wireline, cable or fibre.", ,multiple,"function/
service ",,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
19,,Balance Supplier,,,,Role,Conceptual,,Organization,Market,,A party that markets the difference between actual metered energy consumption and the energy bought with firm energy contracts by the party connected to the grid. In addition the balance supplier markets any difference with the firm energy contract (of the party connected to the grid) and the metered production. ,role,balance supplier,,,,,,,,,X,X,,, ,,,X,,,,,,,,,,,,,,,US,
20,,Balancing Authority,Balance Responsible Party,,,Role,Conceptual,Manager,Organization,Market,Enterprise,Ensures  the supply of electricity corresponds to the anticipated consumption of electricity during a given time period and financially regulates any imbalance that arises. THIS NEEDS UPDATE (USE NERC DEFN),role,balance responsible party,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,US,
21,,Billing,,,,Service,Conceptual,,Application,Service Provider,Enterprise,"Dept that calculates and produces consolidated customer bills, usually allows customer access via Customer Portal.",,,"function/
service ",X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,US,
22,,Billing Application,NISTIR7628: Metering/Billing/Back Office,,,Actor,Logical,,Application,,,Abstraction of an automated billing appication,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
23,,Biomass Facility,,,,Actor,Logical,,Device,Generation,,"Power plant that produces electricity by using biomass. Biomass includes usually refers to using methane gas produced by landfills, farm lots as fuel for the power generation facility. ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
24,,Building Automation System,"RM: Customer EMS, AMI/Customer EMS; CM: 1) Customer Energy Management System and 2) Building Automation ; NR: Customer Energy Management System; E: Energy Management System; EU: Building Energy Management Systems (BEM)",BAS,BAS,Actor,Logical,,Application,Customer,,"The Building Automation System (BAS), also commonly referred to as a Customer Energy Management System (EMS), controls the premise's electrical devices and provides status information.  Building automation systems can be used to allow users to make automated or manual decisions to control energy consumption more efficiently. Through the meter or gateway interface the BAS receives pricing and other signals for managing the building’s systems, including heating and cooling systems, lighting, DER, electric storage, PHEVs and appliances. The BAS may be a utility subscription service, a 3rd party offered service, a consumer specified policy, a consumer owned device, or a manual control by the utility or consumer.",system actor,consumer,,,,,X,X,,X,X,,X,,,,X,,,,,,,,,,,,,,,,US,
25,,Building Management,,,,Service,Conceptual,,Application,Service Provider,,Service that monitors and controls building energy and which potentially responds to signals while minimizing impact on building occupants. ,,,"function/
service ",,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
26,yes,Business Entity,,,,Actor,Conceptual,,Organization,Market,,The wholesale or retail entity that interacts with other entities in its market.,business actor,Multiple ?,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,There are several entities that more concisely describe this concept - this should show up as a column B item for traceability
27,,Business Planning and Reporting,,,,Service,Conceptual,,Application,Operations,,"These actors perform strategic business modeling, manpower planning, reporting, account management, and both assess and report on risk, performance and business impact. ",,,function,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
28,,Campus,,,,Actor,Logical,?,Facility,Cross Cutting,Enterprise,"Set of co-located grounds and buildings operated by an entity such as a corporation.  Examples include, industrial parks, universities and corporate business parks,and supporting physical infrastructures",,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,US,
29,,Capacitor Bank,,,,Actor,Logical,,Device,Distribution,,Control  voltage  by minimizing voltage drops  and absorbing  line spikes. They also provide Volt/VAR control compensating for VAR losses for large inductive loads.,system actor,grid operator,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
30,,Clearing & Settlement Agent,,,,Role,Conceptual,,Organization,Market,,Assumes liability for clearing and/or settlement of contracts and provides contractual counterparty within a Power Exchangse and  Over the Counter (OTC) contracts.,role,Imbalance settlement responsible,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,US,
31,,Coal Facility,CM: Coal; P: Fossil,,,Actor,Logical,,Facility,Generation,,Power plant that produces electricity steam by burning coal. They provide the most inexpensive method of producing power and are commonly for base-load and ancillary services.,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
32,,Cogeneration,,,,Role,Logical,,Device,Customer,,"Devices which increase the efficiency of fuel by capturing and utilizing the both heat and power produced when the fuel is burned. Examples include combined cycle devices which utilize residual heat to generate additional electricity, topping cycle devices which use residual heat for heating or cooling, and bottom cycle processes which use waste heat to produce electricity.",role,producer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
33,,Commercial Customer,,,,Actor,Logical,,Organization,Customer,,"A business that  receives electricity from the electric distribution system, with usage below the threshold set for industrial usage. ",business actor,customer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
34,,Commercial Vendor,,,,Role,Conceptual,Role,Organization,Cross Cutting,Enterprise,"Comercial venodrs that provide solutions, services, and equipment ",,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,US,
35,,Communication Method,,,,Actor,Logical,,Data,Operations,,"The method by which an object communicates with another object to instruct, measure or control.",?,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
36,,Communication Networks,IE: Other Networks,,,Service,Logical,,Facility,Cross Cutting,Communications,"Wireline or wireless networks play a role in AMI, Distribution and Substation Automation, automation backhaul and EV roaming. This include Wireless Service Providers (WSP) now commonly used for AMI NANs, EV charging stations. ",,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
37,,Communications Network,,,,Actor,Logical,,Facility,Operations,Monitor & Control Services/roles,"The planning, operations and maintenance of all communications Network assets including cable, wire, fibre, routers, switches, wireless, etc required to support Operations. ",,,"function/
service ",,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
38,,Communications Network Operations,,,,Service,Logical,,Application,Operations,,"The planning, operations and maintenance of all communications ",,,"function/
service ",,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
39,,Construction,,CON,,Service,Conceptual,,Organization,Operations,,"Examples of construction work include service installations, line extensions, and system betterment projects.",,grid operator,"function/
service ",,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
40,,Construction Supervision,,CSP,,Role,Logical,,Application,Operations,,"Monitoring and management of construction work to minimize negative variances from planned costs, performance, and schedule.",,grid operator,"function/
service ",,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
41,yes,Consumption Response Method,This is a SOA Task?  ,,,Role,Conceptual,,Application,Customer,,A measurable action taken in response to an instruction to change consumption.,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
42,,Consumption Responsible Party,,,,Role,Conceptual,,Role,Market,,"A party who can be brought to rights, legally and financially, for any imbalance between energy bought and consumed for all associated metering points. ",role,consumption responsible party,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
43,,Control Area Operator,,,,Role,Conceptual,,Role,Operations,,"Responsible for : 
1. The coordination of exchanges between its associated control blocks and the organisation of the coordination of exchange programs between its related control areas. 
2. The load frequency control within its own block and ensuring that its control areas respect their obligations in respect to load frequency control and time deviation. 
3. The organisation of the settlement and/or compensation between its control areas.
",role,control area  operator,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
44,,Controllable Load,,,,Role,Conceptual,,Device,Customer,,"Devices whose electric usage can be varied in response to signals. Examples include air conditioners, industrial devices and water heaters. May be controlled by a Facility BAS, a Facility Gateway, though a Smart Meter (serving as a Facility Gateway), or other means such as direct communication of price.",system actor,consumer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
45,,Coordination Center Operator,,,,Role,Conceptual,,Role,Operations,,"Responsible for : 
1. The coordination of exchange programs between its related control blocks and for the exchanges between its associated coordination center zones. 
2. Ensuring that its control blocks respect their obligations in respect to load frequency control. 
3. Calculating the time deviation in cooperation with the associated coordination centers. 
4. Carrying out the settlement and/or compensation between its control blocks and against the other coordination center zones",business actor,control area  operator,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
46,,Critical Loads,,,,Role,Conceptual,,Device ?,Customer,,Individual loads deemed to be critical to the operation of the facility or process.,system actor,consumer,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,US,
47,,Customer,,,,Role,Conceptual,,Organization,Customer,,,role,customer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
48,,Customer Device,"NR: Customer Appliances & Equipmen;, RM: 1)  Customer appliances, DER, PEV, and 2) Electric Storage HAN Device or Smart Appliance; E: Intelligent End Point",,,Role,Conceptual,,Device ? ,Customer,,"Household devices that can react to remote management, whether to price, grid integrity, or other energy management signaling. May be controlled by a Facility Building Automation System (BAS), a Facility Gateway, though a Smart Meter (serving as a Facility Gateway), or other means such as direct communication of price or other information. Communication to the device might be via a Home-Area Network or other means.",system actor,consumer,,,,X,,X,,X,,,X,,,X,,,,,,,,,,,,,,,,,US,
49,,Customer Information System,CM 1) :Third Party Customer Information System & 2) Utility Managed Customer Information System,CIS,CIS,Actor,Logical,,Application,Service Provider,,"The CIS application provides Customer status information necessary to support Demand/Response programs, outage/restoration and usage information. The CIS provides the usage information for Billing. Optionally, CIS includes other functions including outage management, spatial information and Meter Data Managment System (MDMS) functions. CIS contains customer load data which is estimated for each nodal location on a feeder to provide load shapes for different load categories. The CIS fucntion can reside either with a Service Provider or a utility (which  fulfills that role, notably when there aren't any third-parties in the service territory)",system actor,billing agent,,X,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,US,
50,,Customer Management,,,,Service,Conceptual,,Application,Service Provider,,Utility function that manages customer relationships by providing point-of-contact (PoC) and resolution for customer issues and problems. ,,,"function/
service ",,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
51,,Customer Meter,E: Metering Equipment,,,Actor,Physical,,Device,Customer,Process,"Meters are devices which measure the amount of electricity used at a particular site. They are typically located at the customer facility and owned by the distributor (eg: utility) or retail provider. 
",,,,X,X,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,US,
52,,Customer Portal,RM: Web Site,,,Service,Logical,,Application,Operations,,"Internet website so Customers can access their energy and cost information online, enrollment in prepayment electric services and enablement of third party monitoring and control of customer equipment.",system actor,billing agent,,X,,,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
53,,Customer Premise Network,CM: Customer Equipment,,,Service,Logical,,Facility,Customer,,"Customer Premise Networks support communcations between the various other actors found on a customer premise (eg: Appliances, Thermostats, Energy Management Systems); They are also known as Home Area Networks (HAN), Industrial Area Networks (IAN), Building Area Networks (BAN) and Customer Area Networks (CAN)",,,"function/
service ",,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
54,,Customer Service Representative ,,CSR,CSR,Role,Conceptual,,Person,Service Provider,,"Customer service provided by a person (e.g., sales and service representative), or by automated means called self-service (e.g., Interactive Voice Response (IVR)).",business actor,billing agent ?,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
55,,Customer Substation,,,,Actor,Logical,,Facility,Customer,,Transmission or distribution substation located at the customer facilty to set-down power wiithin the customer facilty. Contains infrastructre to control/monitor and protect the distribution grid.,system actor,grid operator,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,US,
56,,Customer Support,,,,Role,Conceptual,,Application,Operations,,"Customer Support actors help customers to purchase, provision,schedule instalationl, troubleshoot power system services, and relay/record customer trouble reports. ",business actor,billing agent ?,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
57,,DC Loads,NR: Load Management Systems/Demand Response Management System,,,Actor,Logical,,,Customer,,Loads at customer site using DC equipment.,system actor,customer,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,US,
58,,Demand Management,,DRMS,DRMS,Service,Conceptual,,Application,Operations,,DR issues pricing or other signals to appliances and equipment at customer locations in order to request customers (or their pre-programmed systems) to decrease or increase their loads in response to the signals. Needs to be crisper description - Ron Cunningham to do,,,"function/
service ",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
59,,Demand Response Management System ,,DRMS,DRMS,Actor,Logical,,Application,Operations,,DRMS issues pricing or other signals to appliances and equipment at customer locations in order to request customers (or their pre-programmed systems) to decrease or increase their loads in response to the signals.,system actor,D/R market operator,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
60,yes,Demand Response Objects,,,,NA Actor,Conceptual,,Data,Distribution,,Physical and logical types of demand response resource objects. - Refer to NAESB for help - is this is a object model - call Marty Burns,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
61,,Demand Response Provider,,,,Actor,Logical,,Organization,Service Provider,,A service provider that either serves as an aggregator  or otherwise provides distribution of Demand/Response (DR) signals. ,role,D/R market operator,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
62,,Demand Response Service Provider,,,,Role,Conceptual,,Organization,Service Provider,,"A Demand Response (DR) Service Provider may serve as an aggregator (in the Market domain), or otherwise provide distribution of DR signals.",role,D/R market operator,,,,,,X,,,, ,,,,,,,,,,,,,,,,,,,,,US,
63,,Designated Dispatch Service Entity,NAESB: Designated Dispatch Entity,DDE,DDE,Service,Conceptual,,Service,Service Provider,,A role service which carries the responsibility of receiving and processing demand resource dispatch instructions or market information and (optionally) providing response information.  ,,,"function/
service ",,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,US,
64,,Display User,,,,Actor,Physical,,Person,Customer,,External actor interacting directly with the simple external consumer display.,system actor,customer,,,,,,,,,,,,, ,,,X,,,,,,,,,,,,,,,US,
65,,Distributed Generation,,DG,DG,Service,Conceptual,,Device,Customer,,"Distributed Generation, also called Distributed Energy Resources (DER), includes small-scale generation or storage of whatever form. This is in contrast to centralized or generation and/or storage of electricity. These generation facilities are part of Demand/Reponse programs and may be dispatchable resources. The primary distictions between Distributed Generation (DG) and Generation is: Generation is attached via Transmission facilities, output is sold in wholesale markets, provides base load; DG is sited on a Customer permises attached to the Distribution grid, output is Retail (unless sold via an aggregator), can provide ancillary services.  These generation facilities include but are not limited to Photvoltaic panel (PV), micro-hydro, mindmill, Plug-in Hybrid/Electric Cars (PHEV), and potentially Fuel cells. These facilites are usually not scheduled but can be dispatched.",role,producer,,,,,,X,,X,X, ,X,,X,,,,,,,,,,,,,,,,,,US,
66,,Distributed Generation Aggregation,"NR: 1) Customer Distributed Energy Resources / Generation and Storage, 2) Distributed Generation and Storage Management; IE: 1) Customer Distributed Energy Resource, 2) Distribution System Distributed Energy Resources: IE: Customer Distributed Energy Resource; EU: Aggregator",,,Service,Conceptual,,Application,Market,,"Distributed  Generation Aggregators combine smaller participants (ie: providers, customers' distributed generation or curtailment assets) to enable these  participants access in larger markets as a virtualized trader",role,producer, ,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,US,
67,,Distributed Generation Submeter,,,,Actor,Physical,,Device,Customer,,Additional meter used to measure electric usage and generation at some customer sites with generation devices such as solar panels.  Alternatively net metering may be used to measure net usage.,system actor,producer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
68,,Distributed Intelligence Capabilities,,,,Service,Conceptual,,Application,Distribution,,Advanced automated/intelligence application that operates in a normally autonomous mode from the centralized control system to increase responsiveness.,system actor,multiple,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
69,yes,This is becoming the components - Steph to do,"RM : DMS functions - DOMA, VVWS, FLIR, MFR, OMS, WMS, etc  ",,,Service Role,Logical,,Application,Operations,,"Applications usually part of a DMS that are required to support DMS functions such as Distribution Operation Model and Analysis  (DOMA),Volt-Var-Watt System (VVWS), Fault Location, Isolation and Repair (FLIR). Examples include topology processor, on-line three-phase unbalanced distribution power flow, contingency analysis, study mode analysis, switch order management, short-circuit analysis, volt/VAR management,  loss analysis, flow/state estimation results   inclusion of distribution automation capabilities, demand response signaling, distributed energy resources, electric storage, Plug-in  Electic Cars (PEV),  load management and outage managment.",system actor,grid operator,,,,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
70,,Distributed Solar,,,,Actor,Logical,,Device,Customer,,Customer owned system which uses the sun to produce electricity and/or heat water.,system actor,producer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
71,,Distributed Storage,,,,Role,Logical,,Device,Cross Cutting,Process,Battery storage typically located at a distribution substation and provides dispatchable energy for congestion and peak load relief. Typical recharged with onsite PV or trickle charging during off-demand intervals. Distributed storage can also augment customer Distributed Generation capabilites.,system actor,producer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,Cross cutting because control varies with the deployment scenarios
72,,Distributed Wind,CM: Wind,,,Role,Logical,,Device,Customer,,Customer owned wind generation which is decentralized as opposed to generation. Examples include micro wind turbines owned by business and residential customers.,system actor,producer,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
73,,Distribution Asset Management,,,,Service,Conceptual,,Application,Distribution,,"Performed by actors that work together to determine when equipment should have maintenance, calculate the life expectancy of the device, and record its history of operations and maintenance so it can be reviewed in the future for operational and engineering decisions. ",,,"function/
service ",,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
74,,Distribution Control Devices,CM: Distribution.Control; IE: Distribution Protection & Control Devices,,,Actor,Logical,,Device,Distribution,,"Actors that permit the Operations domain to manage the flow of power and reliability of the system.  Performed to maintain high levels of reliability and power quality. Examples include switches, capacitors, STATCOM.",system actor,grid operator,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
75,,Distribution Data Collector,,,,Actor,Logical,,Device,Distribution,,A data concentrator bringing data from multiple sources and putting it into different form factors.,system actor,metered data collector,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,US,
76,,Distribution Engineering ,,,,Role,Conceptual,,Organization,Operations,,"A technical function for planning or managing the design and upgrade of the distribution system. Functions include arranging data gathering, construction design ,asset/equipment selection and placement.",,grid operator,"function/
service ",,,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
77,,Distribution Field Crews,,,,Actor,Logical,,Organization,Distribution,,"Manual operations of field devices, repair and construction work, patrolling facilities, recording changes in facility parameters, connectivity, in mobile computers, transferring data to the operator, and corresponding database administrators. This is a class of actors.",business actor,grid operator,,,,X,,,,,, ,,,,,,,,,,,,,,,,,,,,,US,
78,,Distribution Intelligent Electric Device,"RM: 1) Distribution Field RTUs, IEDs, & 2) Distributed Intelligence Capabilities; Field Devices 3) IED; NR: Distribution Automation Field Devices; NR: Distribution Remote Terminal Unit/Intelligent Electronic Device ",D-IED,D-IED,Actor,Logical,,Device,Distribution,,"Intelligent Electric Device (IED) is a communications-enabled controller to monitor and control automated devices in distribution which communicates with Distribution SCADA or other monitoring/control applications, as well as distributed capabilities for automatic operations in a localized area based on local information and on data exchange between members of the group. Operations such as such as tripping circuit breakers if they sense voltage, current, or frequency anomalies. This is a class of  actors.",system actor,grid operator,,X,,X,X,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
79,,Distribution Management System ,RM: DMS; NR: Distributed Management System Application,DMS,DMS,Service,Logical,,Application,Operations,,"A suite of application software that monitors and controls the distribution system equipment based on computer-aided applications, market information, and operator control decisions. ",system actor,grid operator,,X,,X,X,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
80,,Distribution Measure,,,,Role,Physical,,Application,Distribution,,"Performed by rolesactors that provide visibility into the flow of power and the condition of the systems in the field. In the future measurement might be found in built into meters, transformers, feeders, switches and other devices in the grid. An example would be the digital and analog measurements collected through the SCADA system from a remote terminal unit (RTU) and provide to a grid control center in the Operations domain. ",system actor,grid operator,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,US,
81,yes,Distribution Operator,,,,Role,Conceptual,,Person,Operations,,Person operating the distribution system.,,,,,,X,,,,,, ,X,,,,,,,,,,,,,,,,,,,,US,
82,,Distribution Operator,NAE: Utility System Operator,,,Role,Conceptual,,Organization,Operations,Operations,An entity which carries the responsibility of operating an electricity distribution system., role,grid operator,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,US,
83,,Distribution Protection and Control Devices,CM: Distribution.Protect,,,Role,Conceptual,,Device,Distribution,,"Performed by Actors that react rapidly to faults and other events that might cause power outages, brownouts, or the destruction of equipment. Performed to maintain high levels of reliability and power quality. Devices external to a substation which control and protect the distribution system. Examples include Capabitors, Sectionalizers, circuit breakers",system actor,grid operator,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,US,
84,,Distribution Protection Devices,CM: Distribution.Protect; IE: Distribution Protection & Control Devices,,,Role,Conceptual,,Device,Distribution,,"Actors that react rapidly to faults and other events in the system which might cause power outages, brownouts, or the destruction of equipment. Performed to maintain high levels of reliability and power quality. Examples include FACTs devices, switches,circuit interrupters, capacitors, Reactors, fuses",system actor,grid operator,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,US,
